Decade;Probands_region;MeanF;FCIlower;FCIhigher;MeanPhi;PhiCIlower;PhiCIhigher
1820;SLSJ;0.00630935271184311;0.005871;0.006776;0.00242098022175318;0.00219347213791963;0.00266587289424733
1830;Beauce;0.00285481350108475;0.002604;0.00314;0.0017556497991723;0.00168329965497015;0.00182969894941328
1830;Montreal;0.00258352379331268;0.002483;0.002694;0.0004131004966616;0.00040737637634589;0.000418945928195408
1830;SLSJ;0.00792665953882376;0.007468;0.008418;0.0044366103102671;0.00408870981688947;0.00478957997116783
1840;Beauce;0.00294288850689584;0.002703;0.003214;0.001805156491664;0.00172703878251318;0.00188635185310689
1840;Montreal;0.00258978916180714;0.002486;0.002703;0.000424295952192889;0.000418644907941344;0.00042984361816172
1840;SLSJ;0.00777353702547396;0.007308;0.008274;0.00378640297837723;0.00346148251113705;0.00412446989249941
1850;Beauce;0.00325552728998998;0.003019;0.003513;0.00216281769957295;0.00206747630118192;0.00226535900476849
1850;Montreal;0.00260348387543675;0.002508;0.00271;0.000436446385404498;0.000430519821324523;0.000442351906304414
1850;SLSJ;0.0094341450990294;0.009008;0.009878;0.00585245953757751;0.00549373895626644;0.00621696365555994
1860;Beauce;0.00360137710986683;0.003356;0.003873;0.0022976255768806;0.00219981779017045;0.00240289208002333
1860;Montreal;0.00263696528591683;0.002528;0.002746;0.000449330886710706;0.000442754399638098;0.000455810902162259
1860;SLSJ;0.0100280716238008;0.009592;0.010488;0.00680508155101022;0.00643270544855915;0.00718866728451131
1870;Beauce;0.00386345665466023;0.003643;0.004096;0.00235480647884999;0.0022623496041567;0.00244931120872705
1870;Montreal;0.0027510542032422;0.00264;0.002873;0.000472373862628551;0.000465619971393073;0.000479157141986427
1870;SLSJ;0.0094576518798509;0.009054;0.009857;0.00629136076050698;0.00595713920430369;0.00664284885648025
1880;Beauce;0.00446033459836754;0.004228;0.004716;0.00276123069526041;0.00265210322326826;0.00287639111381065
1880;Montreal;0.00296030361456787;0.002826;0.003118;0.000475733826360087;0.000468965791879245;0.000482707067919173
1880;SLSJ;0.010720180218932;0.01035;0.0111;0.0077244923348306;0.0073931956265978;0.00805628680118831
1890;Beauce;0.00515904585080134;0.004887;0.005448;0.00296791072940124;0.00285576582136433;0.00308198554956282
1890;Montreal;0.00318124242512044;0.003016;0.003372;0.000494421662765588;0.000487184102441652;0.00050193099973248
1890;SLSJ;0.0101182945271864;0.009789;0.010456;0.00805950315172721;0.00777786449783511;0.00834021901414676
1900;Beauce;0.0056542594187592;0.005381;0.005955;0.00297926692677642;0.00287928605399043;0.0030848303211295
1900;Montreal;0.00310776483577987;0.002946;0.003302;0.000516299145698184;0.000508018291728239;0.000524505337415375
1900;SLSJ;0.0102528388044395;0.009964;0.010547;0.00837743533285914;0.00813470651945035;0.00861299187013567
1910;Beauce;0.00687835280355839;0.006561;0.007223;0.00326169414534013;0.00316158624060245;0.00336280536397773
1910;Montreal;0.00323128278940905;0.003041;0.003442;0.000525174117934023;0.000516596238123764;0.000534118179703385
1910;SLSJ;0.0102895333815987;0.010027;0.010563;0.0082533261550755;0.00805597608613275;0.00845331125853825
1920;Beauce;0.00770451399158593;0.007329;0.00812;0.00346216704243947;0.00335499407298678;0.00356971811969101
1920;Montreal;0.00311237857233901;0.002864;0.003403;0.000552671989387176;0.000542674175721673;0.000562973427063976
1920;SLSJ;0.0105644381782269;0.010297;0.010842;0.00879289198322228;0.00862438523066022;0.00896538552163138
1930;Beauce;0.00791025544135488;0.007508;0.008352;0.00349030419493406;0.0033843797724107;0.00359812028313347
1930;Montreal;0.00298680045148123;0.002744;0.003279;0.000536892036143262;0.000528110565310853;0.000546101746410789
1930;SLSJ;0.0109096546031626;0.010617;0.011225;0.00859910828261886;0.00844028928277997;0.00875945191120159
1940;Beauce;0.00837602104537288;0.007846;0.008986;0.00338234920911388;0.00326808872554018;0.00350001623538011
1940;Montreal;0.00275914987182899;0.002491;0.003071;0.000501014369919476;0.00049262117843407;0.000509597946384181
1940;SLSJ;0.0107119172192414;0.010409;0.011041;0.00824622545514003;0.00808888822187655;0.00840359115837481
